deal_name,rut_encontrado,rut_fuente,score,vertical,pain_point,reasoning,charon_ok,Industry,Área de la empresa,Deal Stage
Feria de Osorno,,no_encontrado,,,,,,Alimentos,,Z - Closed Lost 
Hortifruit,,no_encontrado,,,,,,Alimentos,,Z - Closed Lost 
Hortifrut reconectado,,no_encontrado,,,,,,Alimentos,Compliance,Z - Closed Lost 
Marine Farm,,no_encontrado,,,,,,Alimentos,Abastecimiento,Z - Closed Lost 
ICB Food Service - Proveedores,77965620-9,gemini,45.0,Manufactura Retail,"Gestión y verificación de cumplimiento normativo de múltiples proveedores de productos cárnicos y alimentos, asegurando trazabilidad y estándares sanitarios.","La empresa es un food service especializado en venta de productos cárnicos, clasificada como Manufactura Retail por su naturaleza de comercialización de productos alimentarios. Con 477 trabajadores es gran empresa (20 puntos ya asignados). No está regulada por CMF, Sernageomin, SEC ni CNE (0 puntos regulación). Estima entre 50-200 proveedores por su modelo de negocio en food service (15 puntos). Sin señal externa reportada (0 puntos). El pain point principal es la compliance de proveedores en sector alimentos, crítico en Chile.",True,Alimentos,,Z - Closed Lost 
Multi Export Foods,76672100-1,gemini,30.0,Financiero,Gestión de cumplimiento regulatorio ante CMF y validación de identidad de contrapartes en operaciones de fondos de inversión,"La empresa se clasifica como Financiero basándose en su giro explícito 'FONDOS Y SOCIEDADES DE INVERSION Y ENTIDADES FINANCIERAS SIMILARES'. Recibe 15 puntos en regulación porque las entidades de fondos e inversión en Chile están bajo supervisión de la CMF (Comisión para el Mercado Financiero). Los proveedores reciben 0 puntos porque con 0 trabajadores reportados, es difícil inferir una estructura operativa con múltiples proveedores; conservadoramente se asume una estructura mínima. No hay señal externa reportada (N/A = 0 puntos). El pain_point se enfoca en compliance regulatorio y KYB, alineado con los servicios de Plutto.",True,Alimentos,,Z - Closed Lost 
Salmonera Nova Austral - TGP,,no_encontrado,,,,,,Alimentos,,Z - Closed Lost 
PF Alimentos,91004000-6,gemini,75.0,Manufactura Retail,"Gestión de compliance y KYB con múltiples proveedores de materias primas (ganadería, insumos) y cadena de distribución en industria alimentaria regulada","La empresa se clasifica en Manufactura Retail por ser productora y conservadora de carne y productos cárnicos. Está regulada por el Servicio de Salud (normas sanitarias e higiénicas) y potencialmente por regulaciones alimentarias, asignando 15 puntos. Con 4,666 trabajadores y operaciones en toda la región, es probable que maneje más de 200 proveedores (ganadería, insumos químicos, empaque, distribución), asignando 25 puntos. Sin señal externa reportada (N/A), asigna 0 puntos. El pain point principal es verificar compliance y KYB de una amplia red de proveedores en industria altamente regulada.",True,Alimentos,,Z - Closed Lost 
Salmones Australes,,no_encontrado,,,,,,Alimentos,,Z - Closed Lost 
Salmones Aysén S.A. - Nuevo negocio,,no_encontrado,,,,,,Alimentos,Abastecimiento,Z - Closed Lost 
Ventisqueros - TGP,,no_encontrado,,,,,,Alimentos,,Z - Closed Lost 
Watt's,,no_encontrado,,,,,,Alimentos,,Z - Closed Lost 
Ñuble Alimentos,,no_encontrado,,,,,,Alimentos,,Z - Closed Lost 
Viñedos Veramonte,96762990-1,gemini,58.0,Manufactura Retail,Gestión de cumplimiento regulatorio en la cadena de suministro de insumos para producción vitivinícola y verificación de proveedores agrícolas,"La empresa se clasifica en 'Manufactura Retail' por ser elaboradora de vinos (manufactura de bebidas). Está regulada por el SAG y posiblemente por regulaciones fitosanitarias y de exportación (puntaje 15). Con 72 trabajadores (gran empresa) y operaciones en Casablanca (región productora), estima ~80-150 proveedores de uvas, insumos químicos y empaques, ubicándose en rango 50-200 (puntaje 15). Sin señal externa reportada (puntaje 0). El pain_point se centra en la verificación de proveedores agrícolas y cumplimiento normativo en cadena de suministro, áreas críticas en industria vitivinícola.",True,Alimentos,,Z - Closed Lost 
Kaufmann,,no_encontrado,,,,,,Automotriz,,Z - Closed Lost 
ASMAR,61106000-9,gemini,75.0,Manufactura Retail,Gestión de compliance y KYB con cadena compleja de proveedores y subcontratistas en industria naval altamente regulada; verificación de proveedores y contratistas para cumplimiento normativo de defensa y construcción naval.,"La empresa es ASMAR (Astilleros y Maestranzas de la Armada), constructor naval estatal. Se clasifica en 'Manufactura Retail' por ser manufactura industrial pesada. Obtiene 15 puntos en regulación por estar bajo supervisión estatal y normativas de defensa/construcción naval (probable regulación). Se estima 25 puntos en proveedores dado el alto número de trabajadores (3580) y complejidad de cadena de suministro típica de astilleros. Sin señal externa reportada = 0 puntos. No hay información de multa, licitación adjudicada o cambios directivos.",True,Automotriz,Abastecimiento,Z - Closed Lost 
Banco Bci - Compliance,,no_encontrado,,,,,,Bancos,Compliance,Z - Closed Lost 
Banco chile - proveedores,,no_encontrado,,,,,,Bancos,,Z - Closed Lost 
Scania Group,96538460-K,gemini,48.0,Manufactura Retail,"Gestión y verificación de cumplimiento normativo de una amplia red de proveedores de repuestos y servicios automotores, así como validación de proveedores internacionales de componentes vehiculares","Scania Chile es distribuidor autorizado de vehículos comerciales (marca Scania), clasificado en retail automotor. Se asigna vertical Manufactura Retail por ser parte de cadena de distribución retail de productos manufacturados. Regulación: 0 puntos (no regulada por CMF, Sernageomin, SEC o CNE específicamente). Proveedores: 15 puntos (rango 50-200) porque una empresa con 554 trabajadores en distribución automotora típicamente maneja entre 50-150 proveedores de repuestos, accesorios y servicios asociados. Señal: 0 puntos (no hay información de eventos externos relevantes). Pain point identificado en gestión de proveedores y cumplimiento normativo, área donde Plutto puede agregar valor significativo.",True,Automotriz,Legal,Z - Closed Lost 
BancoEstado - Proveedores,,no_encontrado,,,,,,Bancos,Abastecimiento,Z - Closed Lost 
Banco Security,97053000-2,gemini,63.0,Financiero,"Gestión y verificación de cumplimiento normativo de múltiples proveedores y contrapartes en un entorno altamente regulado, junto con automatización de procesos KYB para mantener compliance continuo con la CMF.","Banco Security es claramente una institución financiera (giro: actividades bancarias), por lo que se clasifica en vertical Financiero. La regulación es obligatoria: recibe puntaje 15 por estar sujeto a supervisión CMF. Para proveedores, una gran empresa bancaria con 1,399 trabajadores típicamente gestiona entre 50-200 proveedores (servicios, tecnología, outsourcing), por lo que se asigna puntaje 15. No hay señal externa reportada (N/A = 0). El pain_point se enfoca en la necesidad crítica de verificación continua de proveedores en un sector altamente regulado, donde Plutto puede automatizar KYB y compliance.",True,Bancos,,Z - Closed Lost 
Banco Estado,97030000-7,gemini,73.0,Financiero,Gestión compleja de cumplimiento regulatorio (CMF) y KYB en relaciones con múltiples proveedores y contrapartes financieras,"Se clasifica como Financiero por ser banco estatal regulado. Regulación: 15 puntos porque está bajo supervisión CMF como entidad financiera. Proveedores: 25 puntos porque un banco de esta magnitud (10,975 trabajadores, gran empresa) gestiona típicamente >200 proveedores en servicios financieros, tecnología, logística y operaciones. Señal: 0 puntos porque no hay información de eventos relevantes (N/A). El pain point se basa en que instituciones financieras requieren compliance riguroso y validación de contrapartes, que es el core de Plutto.",True,Bancos,,Z - Closed Lost 
Itaú,,no_encontrado,,,,,,Bancos,Abastecimiento,Z - Closed Lost 
bbva,97032000-8,gemini,73.0,Financiero,"Gestión de compliance y KYB en relaciones con múltiples proveedores y contrapartes financieras, cumplimiento regulatorio CMF y prevención de lavado de activos","La empresa es SCOTIABANK AZUL BANCO, claramente una institución bancaria. Se clasifica en vertical Financiero. Recibe 15 puntos en regulación porque los bancos en Chile están regulados por la CMF (Comisión para el Mercado Financiero). Recibe 25 puntos en proveedores porque una gran entidad bancaria de 3885 trabajadores típicamente gestiona más de 200 proveedores (servicios tecnológicos, operacionales, terceros, etc.). No hay señal externa reportada (N/A = 0 puntos). El pain_point se enfoca en la complejidad regulatoria y de compliance que Plutto puede resolver en la gestión de contrapartes y proveedores.",True,Bancos,,Z - Closed Lost 
AES Andes - Compliance,,no_encontrado,,,,,,Energia,,Z - Closed Lost 
Andes Solar,,no_encontrado,,,,,,Energia,Legal,Z - Closed Lost 
COPEC - Contratos,,no_encontrado,,,,,,Energia,Compliance,Z - Closed Lost 
EDF Renewables Chile,,no_encontrado,,,,,,Energia,,Z - Closed Lost 
CONERGIE,77361599-3,gemini,20.0,Financiero,Gestión y verificación de identidad de contrapartes en operaciones de corretaje; cumplimiento de normativas de prevención de lavado de activos (PLA) y financiamiento del terrorismo.,"La empresa se clasifica en 'Financiero' porque su giro 'CORRETAJES AL POR MAYOR' indica actividad de intermediación financiera. Como corredor/broker, está probablemente regulada por la CMF (Comisión para el Mercado Financiero), asignando 15 puntos en regulación. Con solo 4 trabajadores (microempresa), es conservador estimar <50 proveedores (0 puntos). No hay señal externa reportada (0 puntos). El pain point principal es la necesidad de KYB robusto para verificar contrapartes en transacciones, crítico para cumplir regulaciones PLA.",True,Energia,Gerente General,Z - Closed Lost 
"Electrical Group, Eaton",,no_encontrado,,,,,,Energia,,Z - Closed Lost 
Enel,,no_encontrado,,,,,,Energia,,Z - Closed Lost 
Empresas Lipigas S.A.,96928510-K,gemini,73.0,Mining/Energía,"Gestión y cumplimiento regulatorio de proveedores de combustibles y productos conexos ante múltiples organismos reguladores (CNE, Sernageomin); verificación de identidad y legitimidad de proveedores en cadena de suministro de energía.","EMPRESAS LIPIGAS es una distribuidora líder de combustibles en Chile (gas, petróleo y derivados). Se clasifica en Mining/Energía por su giro de venta al por mayor de combustibles. Regulación: obtiene 15 puntos porque el sector de combustibles está regulado por CNE (Comisión Nacional de Energía) y potencialmente Sernageomin. Proveedores: con 953 trabajadores, operaciones nacionales y como empresa de distribución crítica, probablemente gestiona >200 proveedores de insumos, logística y productos conexos, obtiene 25 puntos. Señal externa: N/A, sin información de multas, M&A o cambios directivos recientes, obtiene 0 puntos.",True,Energia,Abastecimiento,Z - Closed Lost 
Grupo Cerro - control proveedores,,no_encontrado,,,,,,Energia,Abastecimiento,Z - Closed Lost 
Grupo Cerro - Proveedores,,no_encontrado,,,,,,Energia,,Z - Closed Lost 
INNERGY,,no_encontrado,,,,,,Energia,,Z - Closed Lost 
Icafal- Lancuyen,77648564-0,gemini,15.0,Otro,Gestión y validación de proveedores de consultoría para asegurar cumplimiento normativo y reduce riesgos reputacionales,"ICAFAL LANCUYEN es una empresa de consultoría de gestión (giro genérico) sin indicadores de pertenencia a verticales regulados (Financiero, Mining/Energía, Utilities, Manufactura Retail). No hay evidencia de regulación externa (CMF, Sernageomin, SEC, CNE). Con 53 trabajadores (mediana) y sin información de estructura corporativa compleja, se estima menos de 50 proveedores (puntaje 0). Sin señal externa proporcionada (N/A). La empresa podría beneficiarse de KYB para validar proveedores de servicios de consultoría y cumplimiento normativo.",True,Energia,,Z - Closed Lost 
IM2 Solar Chile,76364227-5,gemini,60.0,Mining/Energía,"Gestión y compliance de cadena de proveedores en sector energético solar, con regulaciones de la CNE y requisitos de trazabilidad de equipos y materiales importados","La empresa IM2 SOLAR CHILE es claramente del sector solar/energía renovable basándose en su nombre. Se clasificó en Mining/Energía. Como operador en el sector energético en Chile, está regulada por la CNE (Comisión Nacional de Energía), lo que justifica 15 puntos en regulación. Con 270 trabajadores (gran empresa) y operaciones en energía solar, se estima manejo de 50-200 proveedores (equipos, instalaciones, servicios técnicos), asignando 15 puntos. Sin señal externa reportada, se asignan 0 puntos. El pain point principal es la gestión compleja de proveedores en un sector altamente regulado.",True,Energia,Abastecimiento,Z - Closed Lost 
Lipigas - Riesgo,,no_encontrado,,,,,,Energia,,Z - Closed Lost 
JORPA INGENIERIA,96866400-K,gemini,38.0,Otro,Gestión y validación de múltiples proveedores de componentes eléctricos y materias primas para cumplir con estándares de calidad y normativas técnicas en la fabricación de equipos electromecánicos,"La empresa se clasifica en Manufacturing Retail por su giro en fabricación de motores, generadores y transformadores eléctricos. Con 87 trabajadores (gran empresa), es probable que maneje entre 50-200 proveedores (15 puntos) para abastecerse de componentes y materia prima. No hay evidencia de regulación específica por CMF, Sernageomin, SEC o CNE que aplique directamente (0 puntos). Sin señal externa reportada, se asigna 0 puntos. El pain point principal es la necesidad de validar y mantener compliance en la cadena de proveedores para cumplir con normativas técnicas del sector eléctrico.",True,Energia,,Z - Closed Lost 
Mainstream Renewable Power,,no_encontrado,,,,,,Energia,,Z - Closed Lost 
Orion Power - TGP,,no_encontrado,,,,,,Energia,,Z - Closed Lost 
Mainstream Renewable Power - Contratos,,no_encontrado,,,,,,Energia,,Z - Closed Lost 
Atomic Kitchens,,no_encontrado,,,,,,,,
Dole,94612000-6,gemini,60.0,Manufactura Retail,"Gestión y validación de múltiples proveedores agrícolas en cadena de suministro compleja, asegurando compliance y trazabilidad de productos","Dole Chile es una empresa de corretaje de productos agrícolas con 5508 trabajadores (gran empresa = 20 puntos). Se clasifica en 'Manufactura Retail' por su naturaleza de distribución y comercialización de productos agrícolas. No tiene regulación específica de CMF, Sernageomin, SEC o CNE (0 puntos). Dada su escala operativa y actividad de corretaje mayorista, se estima >200 proveedores agrícolas (25 puntos). Sin señal externa reportada (0 puntos). El principal pain point es la validación y cumplimiento normativo de una amplia red de proveedores agrícolas, donde Plutto puede facilitar KYB automatizado.",True,,,
Cermaq,79784980-4,gemini,65.0,Manufactura Retail,Gestión de cumplimiento regulatorio en cadena de suministro de acuicultura y validación de proveedores en industria regulada por autoridades sanitarias y ambientales,"Cermaq es una empresa de cultivo y crianza de peces marinos con 2415 trabajadores (gran empresa). Se clasifica en 'Manufactura Retail' por ser producción de bienes a escala. Está regulada por múltiples entidades (Sernapesca, autoridades ambientales, sanitarias), justificando 15 puntos en regulación. Con operaciones de gran escala en acuicultura, se estima 50-200 proveedores (insumos, alimentos, equipos, logística), asignando 15 puntos. Sin señal externa reportada (N/A = 0). El giro requiere validación intensiva de proveedores y cumplimiento regulatorio en toda la cadena de suministro, siendo un caso de uso relevante para Plutto.",True,,,
KDM Empresas,,no_encontrado,,,,,,,,
Global Frozen,76689540-9,gemini,58.0,Manufactura Retail,"Gestión y verificación de proveedores en cadena de suministro de productos del mar, cumplimiento normativo en trazabilidad y certificaciones sanitarias, validación de identidad y legitimidad de distribuidores y mayoristas.","La empresa se clasifica en 'Manufactura Retail' por ser distribuidor mayorista de productos del mar. Regulación: 15 puntos porque el sector de productos marinos está regulado por entidades como Sernapesca y debe cumplir con normativas sanitarias y de trazabilidad. Proveedores: 15 puntos porque una empresa de venta al por mayor con 98 trabajadores probablemente maneja entre 50-200 proveedores (pescadores, plantas procesadoras, productores). Señal: 0 puntos porque no hay información de evento externo relevante. El principal pain_point para Plutto es la necesidad de verificar proveedores en una cadena de suministro compleja con altos requisitos regulatorios.",True,,,
Provaltec,,no_encontrado,,,,,,Energia,Financiero,Z - Closed Lost 
Redinter,,no_encontrado,,,,,,,,
Solarity,,no_encontrado,,,,,,Energia,,Z - Closed Lost 
Tecnored,,no_encontrado,,,,,,Energia,,Z - Closed Lost 
AFP Capital - Proveedores,,no_encontrado,,,,,,Fintech,,Z - Closed Lost 
Transelec,76555400-4,gemini,73.0,Mining/Energía,"Gestión y compliance de una red extensa de proveedores y contratistas en operaciones críticas de transmisión eléctrica, con requisitos regulatorios estrictos de la CNE","TRANSELEC S.A. es una empresa de transmisión de energía eléctrica, sector claramente clasificado en Mining/Energía. Con 694 trabajadores es gran empresa. Está regulada por CNE (Comisión Nacional de Energía) como operador de infraestructura crítica nacional (15 puntos). Una empresa de transmisión eléctrica de este tamaño requiere gestionar una red compleja de proveedores especializados (construcción, mantenimiento, equipos, servicios técnicos), estimando >200 proveedores (25 puntos). No hay señal externa reportada (0 puntos). El principal dolor es garantizar cumplimiento normativo y KYB de múltiples proveedores bajo regulación CNE.",True,Energia,Abastecimiento,Z - Closed Lost 
AFP PlanVital - Compliance,,no_encontrado,,,,,,Fintech,Compliance,Z - Closed Lost 
AFP PlanVital,98001200-K,gemini,63.0,Financiero,Gestión de cumplimiento regulatorio de proveedores y contratistas en contexto de normativa CMF y control de riesgos de conformidad,"PlanVital es una AFP (Administradora de Fondos de Pensiones), entidad claramente del sector Financiero. Como AFP, está regulada por la CMF (Comisión para el Mercado Financiero), lo que justifica 15 puntos en regulación. Con 1.238 trabajadores y operaciones de gran empresa, se estima que maneja entre 50-200 proveedores (servicios tecnológicos, administrativos, de cumplimiento, etc.), asignando 15 puntos. No hay señal externa reportada (N/A = 0 puntos). El pain_point identifica un problema relevante para AFPs: la necesidad de validar y monitorear el cumplimiento regulatorio de sus proveedores y contratistas, especialmente bajo supervisión CMF.",True,Fintech,Compliance,Z - Closed Lost 
Baaskit,76625125-0,gemini,20.0,Financiero,Gestión de cumplimiento normativo CMF para servicios de pagos y validación de identidad de clientes en transacciones financieras,"La empresa BAASKIT PAGOS S.A. se clasifica en el vertical Financiero debido a su giro explícito en 'OTRAS ACTIVIDADES DE SERVICIOS FINANCIEROS'. El nombre 'PAGOS' refuerza esta clasificación. Como proveedor de servicios financieros en Chile, está regulada por la CMF (Comisión para el Mercado Financiero), otorgando 15 puntos en regulación. Con solo 8 trabajadores (micro empresa), probablemente maneja menos de 50 proveedores, asignando 0 puntos. Sin señal externa reportada (N/A), se asignan 0 puntos. El pain_point se centra en cumplimiento normativo CMF y KYB, que son necesidades críticas para empresas fintech en Chile.",True,Fintech,,Z - Closed Lost 
Banco Falabella,96509660-4,gemini,73.0,Financiero,Gestión y verificación de identidad de clientes y proveedores en cumplimiento con normativas anti-lavado de dinero y sanciones internacionales de la CMF,"Banco Falabella es claramente una institución financiera (giro: ACTIVIDADES BANCARIAS). Como banco regulado en Chile, está bajo supervisión obligatoria de la CMF (Comisión para el Mercado Financiero), lo que justifica 15 puntos en regulación. Dada su escala (2.751 trabajadores, gran empresa) y naturaleza de banco múltiple, maneja típicamente más de 200 proveedores (servicios, tecnología, logística, compliance), asignando 25 puntos. Sin señal externa reportada, obtiene 0 puntos en ese rubro. El pain point se enfoca en KYB/KYC, que es el core de Plutto y altamente relevante para instituciones financieras con requisitos regulatorios estrictos.",True,Fintech,Auditoria Interna,Z - Closed Lost 
Banco Ripley,97947000-2,gemini,71.0,Financiero,"Gestión de compliance y KYB para múltiples proveedores y contrapartes en operaciones financieras, así como cumplimiento normativo de regulaciones CMF en procesos de onboarding y monitoreo continuo","Banco Ripley es claramente una institución financiera (giro: ACTIVIDADES BANCARIAS), por lo que se clasifica en vertical Financiero. Está regulada por la CMF (Comisión para el Mercado Financiero) como banco, asignando 15 puntos en regulación. Como gran banco con 721 trabajadores, maneja un alto volumen de relaciones comerciales y proveedores (estimado >200), asignando 25 puntos en proveedores. Sin señal externa reportada (N/A), asigna 0 puntos en señal. El pain point refleja necesidades típicas de instituciones financieras reguladas en Chile para gestionar compliance y verificación de terceros.",True,Fintech,,Z - Closed Lost 
BCI Fidelización Seguros,,no_encontrado,,,,,,Fintech,,Z - Closed Lost 
Bolsa de Productos,,no_encontrado,,,,,,Fintech,Riesgo,Z - Closed Lost 
CajaLosAndes - Afiliados,81826800-9,gemini,63.0,Financiero,Gestión de compliance y KYB para múltiples proveedores y contrapartes en operaciones de beneficios sociales y compensación familiar,"La empresa es una Caja de Compensación de Asignación Familiar, entidad que forma parte del sistema de seguridad social chileno y está regulada por la CMF (Superintendencia de Pensiones/reguladores del sistema de compensación). Se clasifica como Financiero por su naturaleza de intermediaria financiera y administradora de fondos de asignación familiar. Con 2906 trabajadores y operaciones nacionales, estima entre 50-200 proveedores (servicios, infraestructura, tecnología). Sin señal externa reportada (N/A). El pain point se enfoca en la necesidad de validar y monitorear proveedores y contrapartes en cumplimiento normativo.",True,Fintech,Comercial,Z - Closed Lost 
Coval reconectado,,no_encontrado,,,,,,Fintech,Comercial,Z - Closed Lost 
Cooperativa de Ahorro y Crédito Ahorrocoop Ltda,81836800-3,gemini,58.0,Financiero,"Gestión de cumplimiento regulatorio y KYB de proveedores y contrapartes en el sector financiero, incluyendo validación de identidad y verificación de antecedentes de socios y clientes","La empresa es una cooperativa de ahorro y crédito con servicios financieros, claramente clasificada en el vertical Financiero. Como institución financiera regulada, está bajo supervisión de la CMF (Comisión para el Mercado Financiero), lo que justifica 15 puntos en regulación. Con 221 trabajadores (gran empresa) y operaciones de servicios financieros, se estima que maneja entre 50-200 proveedores (15 puntos), incluyendo proveedores tecnológicos, de outsourcing y servicios profesionales. No hay señal externa reportada (0 puntos). El pain_point principal es la necesidad de automatizar cumplimiento normativo y verificación de antecedentes de contrapartes, típico de instituciones financieras.",True,,,
Crawford & Company,,no_encontrado,,,,,,,,
DLL Group,,no_encontrado,,,,,,Fintech,Financiero,Z - Closed Lost 
Capual - Compliance,,no_encontrado,,,,,,Fintech,Compliance,Z - Closed Lost 
EBCO,,no_encontrado,,,,,,Fintech,Auditoria Interna,Z - Closed Lost 
Financoop,,no_encontrado,,,,,,,,
Edenred,96781350-8,gemini,56.0,Financiero,"Gestión de cumplimiento regulatorio y KYB de proveedores y contrapartes en el ecosistema financiero, así como validación continua de identidad y antecedentes de clientes y socios comerciales.","Edenred Chile es una empresa del sector financiero (giro: 'Fondos y Sociedades de Inversión y Entidades Financieras Similares'). Como entidad financiera está regulada por la CMF (Comisión para el Mercado Financiero), asignando 15 puntos en regulación. Con 156 trabajadores (gran empresa) y operaciones en el sector financiero, se estima manejo de 50-200 proveedores típico de empresas de este tamaño, asignando 15 puntos. No hay señal externa reportada (N/A), por lo que 0 puntos. El pain point se centra en cumplimiento regulatorio y due diligence de terceros, necesidades críticas en instituciones financieras.",True,,,
Everest Seguros Chile,77591207-3,gemini,56.0,Financiero,"Gestión de compliance regulatorio y KYB de proveedores y contrapartes en el sector asegurador, con cumplimiento de requerimientos de la CMF","La empresa es una aseguradora general regulada por la CMF (Comisión para el Mercado Financiero), por lo que obtiene 15 puntos en regulación. Se clasifica en vertical 'Financiero' dado su giro de seguros generales. Estimamos 50-200 proveedores típicos para una aseguradora de este tamaño (58 trabajadores, gran empresa), otorgando 15 puntos. Sin señal externa reportada, se asignan 0 puntos. El pain_point se enfoca en la necesidad de cumplimiento normativo y verificación de terceros en un sector altamente regulado.",True,Fintech,Legal,Z - Closed Lost 
FLOW,,no_encontrado,,,,,,Fintech,,Z - Closed Lost 
Kushki,,no_encontrado,,,,,,Fintech,Compliance,Z - Closed Lost 
Interfactor S.A reconectado,,no_encontrado,,,,,,Fintech,TI,Z - Closed Lost 
Lenk,,no_encontrado,,,,,,Fintech,,Z - Closed Lost 
lemontech,99511620-0,gemini,38.0,Otro,"Gestión y cumplimiento normativo de múltiples proveedores de servicios tecnológicos e infraestructura IT, con validación de identidad y antecedentes para contratistas y consultores externos.","LEMONTECH es una empresa de consultoría informática y gestión de instalaciones IT sin regulación específica de CMF, Sernageomin, SEC o CNE. Se clasifica en 'Otro' por ser servicios tecnológicos. Con 152 empleados (gran empresa, 20 pts) e implantación de infraestructura en clientes, probablemente maneja 50-200 proveedores (15 pts) de software, hardware y servicios. Sin señal externa reportada (0 pts). El pain_point principal es el cumplimiento y validación de proveedores en cadenas de consultoría IT complejas.",True,Fintech,Legal,Z - Closed Lost 
Maxxa,,no_encontrado,,,,,,Fintech,Legal,Z - Closed Lost 
Latam Trade Capital,99595990-9,gemini,56.0,Financiero,Gestión de cumplimiento regulatorio y KYB de clientes y proveedores en operaciones financieras transfronterizas,"La empresa se clasifica en 'Financiero' por su giro explícito en 'OTRAS ACTIVIDADES DE SERVICIOS FINANCIEROS'. Se asignan 15 puntos en regulación porque empresas de servicios financieros en Chile están probablemente reguladas por la CMF (Comisión para el Mercado Financiero). Se estiman 15 puntos en proveedores (rango 50-200) considerando que es una empresa de 113 trabajadores en servicios financieros que requiere múltiples proveedores de tecnología, compliance y operacionales, pero sin información de estructura compleja que sugiera >200. Sin señal externa reportada (N/A), se asignan 0 puntos. El pain_point se enfoca en la necesidad típica de empresas financieras de validar contrapartes y cumplir normativas KYB/AML.",True,Fintech,Riesgo,Z - Closed Lost 
Nuam exchange,77726203-3,gemini,58.0,Financiero,Gestión de cumplimiento regulatorio y KYB para intermediarios y entidades que operan en mercados financieros; validación de contrapartes y proveedores conforme a regulaciones de la CMF.,"La empresa es clasificada como 'Financiero' basado en su giro explícito de 'ADMINISTRACION DE MERCADOS FINANCIEROS' y nombre que sugiere operación bursátil. Regulación: 15 puntos porque empresas que administran mercados financieros están reguladas por CMF (Comisión para el Mercado Financiero). Proveedores: 15 puntos (50-200) porque una empresa de administración de mercados de tamaño grande (230 trabajadores) típicamente maneja múltiples proveedores de tecnología, servicios operacionales y compliance, pero no tantos como grandes retailers. Señal: 0 puntos porque no hay señal externa reportada (N/A). Pain point centrado en compliance regulatorio, que es crítico para entidades financieras reguladas.",True,Fintech,,Z - Closed Lost 
