RUT_DV,Razón social,Tramo según ventas,Número de trabajadores,Tipo de contribuyente,Actividad económica,Región,Segmento,Scored,score,vertical,pain_point,reasoning,num_hijos,num_padres,Nombre_Fantasia,Sitio_Web,Confianza_Lookup
52001084-K,COMERCIAL ALEJANDRO DERDERIAN BUSTAMANTE E.I.R.L.,8,43,PERSONA JURIDICA COMERCIAL,TERMINACION Y ACABADO DE EDIFICIOS,V REGION VALPARAISO,Mining / Energía,True,47.0,Mining/Energía,Gestión de cumplimiento regulatorio y debida diligencia de proveedores en cadena de suministro minero/energética,"La empresa opera en Mining/Energía en Valparaíso con 43 trabajadores (mediana empresa). Está regulada por Sernageomin como operador minero/energético, asignando 15 puntos. Con 43 empleados y operaciones en este sector, probablemente gestiona entre 50-200 proveedores (contratistas, suministros, servicios), asignando 15 puntos. No hay señal externa reportada (N/A), por lo que 0 puntos. El pain_point se enfoca en regulación y evaluación de riesgos de proveedores, necesidades críticas en Mining/Energía donde Plutto agrega valor.",0.0,0.0,,,
52001387-3,INVERSIONES IMPERIA SPA,9,131,PERSONA JURIDICA COMERCIAL,TRANSPORTE DE CARGA POR CARRETERA,I REGION DE TARAPACA,Utilities / Infraestructura,True,53.0,Utilities/Infraestructura,Gestión de cumplimiento regulatorio y evaluación de riesgos en la cadena de suministro de infraestructura crítica.,"La empresa opera en el sector Utilities/Infraestructura en la I Región de Tarapacá (zona minera y de energía). Esta vertical está regulada por la CNE (Comisión Nacional de Energía) y potencialmente Sernageomin dado el contexto geográfico. Con 131 trabajadores (mediana empresa) e infraestructura crítica, probablemente gestiona entre 50-200 proveedores para operaciones y mantenimiento. Sin señal externa reportada (N/A). El pain_point se centra en cumplimiento regulatorio y debida diligencia de proveedores, áreas clave para Plutto en este sector.",1.0,0.0,,,
52001581-7,ABASTECEDORA DE CRISTALES VMGLASS S A,10,106,PERSONA JURIDICA COMERCIAL,FABRICACION DE PRODUCTOS DE VIDRIO N.C.P.,XIII REGION METROPOLITANA,Manufactura / Retail,True,46.0,Manufactura Retail,Gestión y evaluación de riesgos en cadena de suministro de proveedores de materias primas y componentes para manufactura de cristales,"VMGLASS es una empresa de manufactura y retail de cristales con 106 trabajadores (gran empresa). No está regulada por CMF, Sernageomin, SEC o CNE según su giro. Como empresa manufacturera de tamaño mediano-grande, típicamente maneja entre 50-200 proveedores (materias primas, químicos, equipos, logística), justificando 15 puntos. Sin señal externa reportada (N/A). El pain point principal es la evaluación de proveedores y mitigación de riesgos en su cadena de suministro, donde Plutto agrega valor directo.",1.0,2.0,,,
52001658-9,INEEC SPA,8,56,PERSONA JURIDICA COMERCIAL,INSTALACIONES ELECTRICAS,XIII REGION METROPOLITANA,Manufactura / Retail,True,35.0,Manufactura Retail,Gestión y evaluación de riesgos en cadena de proveedores de manufactura y distribución retail,"INEEC SPA es una empresa mediana (56 trabajadores) en el sector Manufactura Retail, sin regulación específica de organismos como CMF, Sernageomin, SEC o CNE (puntaje regulación: 0). Dada su naturaleza de manufactura y retail con operaciones en RM, se estima que maneja entre 50-200 proveedores típicos para este tipo de operación (puntaje proveedores: 15). No hay señal externa reportada (N/A), por lo que puntaje señal es 0. El pain point relevante es la necesidad de evaluación sistemática de proveedores y gestión de riesgos en su cadena de suministro, donde Plutto puede aportar valor significativo.",0.0,0.0,,,
52001698-8,EUGENIO NEGRETE AGUILAR E I R L,9,270,PERSONA JURIDICA COMERCIAL,OTRAS ACTIVIDADES DE TELECOMUNICACIONES N.C.P.,X REGION LOS LAGOS,Utilities / Infraestructura,True,52.0,Utilities/Infraestructura,"Gestión y evaluación de riesgos en cadena de proveedores de infraestructura crítica, cumplimiento regulatorio de CNE y auditoría de proveedores.","Empresa mediana (270 trabajadores) en sector Utilities/Infraestructura en Los Lagos está regulada por CNE (Comisión Nacional de Energía) dado su giro. Como empresa de infraestructura de tramo SII 9, probablemente maneja entre 50-200 proveedores para operaciones y mantenimiento. Sin señales externas reportadas (N/A). El sector requiere debida diligencia rigurosa en proveedores por naturaleza crítica de operaciones.",0.0,0.0,,,
52001703-8,TRANSPORTES QUO VADIS LTDA,9,19,PERSONA JURIDICA COMERCIAL,OTRAS ACTIVIDADES DE TRANSPORTE DE PASAJEROS POR VIA TERRESTRE N.C.P.,XIII REGION METROPOLITANA,Utilities / Infraestructura,True,47.0,Utilities/Infraestructura,"Gestión y cumplimiento regulatorio de proveedores de transporte e infraestructura, así como evaluación de riesgos operacionales y de seguridad en la cadena de suministro logístico.","La empresa opera en el sector Utilities/Infraestructura (transporte) con 19 trabajadores (mediana), lo que indica una empresa consolidada. Como prestadora de servicios de transporte, probablemente está regulada por la CNE (Comisión Nacional de Energía) o entidades de infraestructura relacionadas, asignando 15 puntos. Con tamaño mediano y operaciones en transporte, se estima que maneja entre 50-200 proveedores (lubricantes, repuestos, combustible, servicios logísticos), asignando 15 puntos. No hay señal externa reportada (N/A), por lo que corresponden 0 puntos. El pain point se enfoca en la necesidad de evaluar proveedores y detectar riesgos en una industria altamente regulada.",0.0,0.0,,,
52002166-3,SERVICIOS AEREOS PUERTO MONTT SPA,9,21,PERSONA JURIDICA COMERCIAL,TRANSPORTE DE PASAJEROS POR VIA AEREA,X REGION LOS LAGOS,Utilities / Infraestructura,True,47.0,Utilities/Infraestructura,Gestión y evaluación de riesgos en la cadena de suministro de servicios aéreos y operaciones de infraestructura aeroportuaria,"Empresa clasificada en Utilities/Infraestructura con giro en servicios aéreos en Puerto Montt. (1) Regulación: 15 puntos - Como operador de servicios aéreos está sujeta a regulación de la CNE (Comisión Nacional de Energía) y potencialmente a normativas de transporte aéreo. (2) Proveedores: 15 puntos - Una empresa mediana de 21 trabajadores en servicios aéreos/infraestructura probablemente gestiona entre 50-200 proveedores (combustible, mantenimiento, equipos, servicios especializados). (3) Señal: 0 puntos - No hay señal externa reportada (N/A). El pain_point se basa en que empresas de infraestructura aeroportuaria requieren debida diligencia rigurosa en sus proveedores por regulaciones de seguridad y cumplimiento operacional.",0.0,0.0,,,
52002235-K,DISEC DISENO Y CONSTRUCCION SPA,8,32,PERSONA JURIDICA COMERCIAL,OTRAS ACTIVIDADES ESPECIALIZADAS DE CONSTRUCCION,XIII REGION METROPOLITANA,Manufactura / Retail,True,35.0,Manufactura Retail,Gestión y evaluación de riesgos en la cadena de suministro de proveedores de manufactura y distribución retail,"DISEC es una empresa mediana (32 trabajadores) en manufactura/retail sin indicios de regulación sectorial específica (no es financiera, minería, energía ni utilities). No presenta señal externa documentada. Dado su tamaño y giro dual (manufactura + retail), probablemente maneja entre 50-200 proveedores en su cadena de suministro (15 puntos), un volumen típico para empresas medianas que requieren múltiples insumos y distribución. Su mayor necesidad de compliance es la debida diligencia sobre proveedores y socios comerciales, que es exactamente el valor principal de Plutto.",1.0,0.0,,,
52002289-9,SOCIEDAD TRANSPORTES J.T. SPA,8,12,PERSONA JURIDICA COMERCIAL,TRANSPORTE DE CARGA POR CARRETERA,V REGION VALPARAISO,Utilities / Infraestructura,True,47.0,Utilities/Infraestructura,Gestión y cumplimiento normativo de proveedores de transporte y logística en un sector regulado,"La empresa opera en el sector Utilities/Infraestructura con giro de transporte. Este sector está sujeto a regulación de la CNE (Comisión Nacional de Energía) y potencialmente a otras entidades como la SEC en materias de seguridad vial y transporte. Se asignaron 15 puntos por regulación. Estimada como mediana (12 trabajadores), probablemente maneja entre 50-200 proveedores considerando su naturaleza de operaciones de transporte e infraestructura, por lo que se asignaron 15 puntos. Sin señal externa registrada (N/A), se asignaron 0 puntos. El pain point relevante es la necesidad de validar y monitorear proveedores en un entorno regulado.",0.0,0.0,,,
52002987-7,CONSTRUCTORA SV S.A.,10,55,PERSONA JURIDICA COMERCIAL,PREPARACION DEL TERRENO,XIII REGION METROPOLITANA,Manufactura / Retail,True,46.0,Manufactura Retail,Gestión y evaluación de riesgos en cadena de proveedores de manufactura y distribución retail,"CONSTRUCTORA SV S.A. es una gran empresa (55 trabajadores) en el sector manufactura retail sin indicios de regulación sectorial específica (CMF, Sernageomin, SEC, CNE no aplican). No presenta señal externa relevante. Dada su tamaño, estructura corporativa (2 empresas padres, 1 empresa hija) y naturaleza de manufactura/retail, se estima que maneja entre 50-200 proveedores, típico de empresas de este segmento que requieren múltiples proveedores de materia prima, logística y distribución. El pain point principal es la debida diligencia continua en proveedores, crítica en sectores con cadenas complejas.",1.0,2.0,,,
52003012-3,TRANSPORTES SAN BASILIO SPA,8,16,PERSONA JURIDICA COMERCIAL,TRANSPORTE DE CARGA POR CARRETERA,VIII REGION DEL BIO BIO,Utilities / Infraestructura,True,47.0,Utilities/Infraestructura,"Gestión y evaluación de riesgos en proveedores de transporte e infraestructura, cumplimiento normativo de la CNE y asegurar debida diligencia en cadena de suministro.","La empresa opera en sector Utilities/Infraestructura (transporte) en la VIII Región, tamaño mediano (16 trabajadores). Es probable que esté regulada por CNE dado su giro en infraestructura de transporte (15 puntos regulación). Con 16 trabajadores y operación en transporte, estima tener entre 50-200 proveedores de combustible, mantención, logística y servicios (15 puntos proveedores). No hay señal externa reportada (0 puntos). El pain point se enfoca en cumplimiento regulatorio y evaluación de riesgo en proveedores, que es el core de Plutto.",0.0,1.0,,,
52003032-8,TRANSPORTES HURCAM SPA,10,63,PERSONA JURIDICA COMERCIAL,TRANSPORTE DE CARGA POR CARRETERA,III REGION DE ATACAMA,Utilities / Infraestructura,True,58.0,Utilities/Infraestructura,"Gestión de cumplimiento normativo y debida diligencia de proveedores en sector de transporte e infraestructura, regulado por múltiples entes","TRANSPORTES HURCAM es una gran empresa (63 trabajadores) en el vertical Utilities/Infraestructura. Como empresa de transporte en Chile, está sujeta a regulación de la CNE y potencialmente Sernageomin por infraestructura, lo que justifica 15 puntos en regulación. Por ser gran empresa con operaciones de transporte e infraestructura, probablemente maneja entre 50-200 proveedores (15 puntos). No hay señal externa reportada (0 puntos). El pain point principal es la necesidad de validar y evaluar proveedores cumpliendo con normativas regulatorias complejas del sector.",0.0,0.0,,,
52003179-0,TRENZADURÍA FRAILE SPA,8,19,PERSONA JURIDICA COMERCIAL,"FABRICACION DE CUERDAS, CORDELES, BRAMANTES Y REDES",XIII REGION METROPOLITANA,Manufactura / Retail,True,40.0,Manufactura Retail,Gestión y evaluación de riesgos en la cadena de proveedores de manufactura y distribución retail,"TRENZADURÍA FRAILE es una empresa mediana (19 trabajadores) en manufactura retail sin regulación sectorial específica (no financiero, minería, utilities ni energía). Con 2 empresas hijas, estructura de distribución y tamaño mediano, probablemente maneja entre 50-200 proveedores de materias primas, manufactura y logística retail, justificando 15 puntos. Sin señal externa reportada (N/A), obtiene 0 puntos. La empresa es ICP válida para Plutto por su necesidad de debida diligencia en cadena de suministro.",2.0,0.0,,,
52003306-8,JAVIERA CAROCA CASTRO Y COMPANIA LIMITADA,9,252,PERSONA JURIDICA COMERCIAL,ACTIVIDADES DE APOYO PARA LA EXPLOTACION DE OTRAS MINAS Y CANTERAS PRESTADOS POR EMPRESAS,VI REGION DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,Mining / Energía,True,60.0,Mining/Energía,"Gestión de cumplimiento regulatorio en cadena de suministro de proveedores mineros y de energía, asegurando adherencia a normativas de Sernageomin y CNE.","Empresa mediana (252 trabajadores) en sector Mining/Energía en VI Región, claramente regulada por Sernageomin y CNE (15 puntos). Con 2 empresas hijas y tamaño mediano, estima cadena de 50-200 proveedores típica del sector (15 puntos). Sin señal externa registrada (0 puntos). El pain_point se orienta a debida diligencia de proveedores en contexto regulatorio minero-energético, que es el core de Plutto.",2.0,0.0,,,
52003356-4,JUAN OSCAR MERINO SANCHEZ SERVICIOS Y OBRAS FERROVIARIAS E.I.R.L.,9,185,PERSONA JURIDICA COMERCIAL,CONSTRUCCION DE CARRETERAS Y LINEAS DE FERROCARRIL,V REGION VALPARAISO,Manufactura / Retail,True,35.0,Manufactura Retail,"Gestión y evaluación de riesgos de proveedores en cadena de suministro de servicios y obras ferroviarias, asegurando cumplimiento normativo y reduciendo exposición a proveedores de alto riesgo.","Empresa mediana (185 trabajadores) en sector Manufactura Retail con actividades en servicios y obras ferroviarias. No está regulada por CMF, Sernageomin, SEC o CNE específicamente. Estimamos 50-200 proveedores (15 puntos) considerando su tamaño y complejidad operacional típica de empresas de servicios ferroviarios que requieren múltiples proveedores especializados. Sin señal externa reportada (N/A). El pain point se centra en evaluación de proveedores, alineado con propuesta de valor de Plutto en contexto B2B.",0.0,0.0,,,
52003441-2,OBRAS CIVILES IGOR HORMAZÁBAL NAVEA E.I.R.L.,8,26,PERSONA JURIDICA COMERCIAL,TRANSPORTE DE CARGA POR CARRETERA,V REGION VALPARAISO,Utilities / Infraestructura,True,47.0,Utilities/Infraestructura,"Gestión y evaluación de riesgos en cadena de proveedores de construcción y obras civiles, cumplimiento normativo ante reguladores como CNE y evaluación de contratistas.","Empresa mediana (26 trabajadores) en giro de obras civiles e infraestructura. Regulación: 15 puntos porque el sector de utilities e infraestructura en Chile está regulado por entidades como CNE (Comisión Nacional de Energía) en proyectos relacionados. Proveedores: 15 puntos porque una constructora mediana típicamente maneja entre 50-200 proveedores (materiales, subcontratistas, servicios). Señal: 0 puntos porque no hay señal externa explícita (N/A). El tamaño mediano y la naturaleza del negocio hacen que Plutto sea especialmente relevante para evaluación de proveedores y cumplimiento regulatorio.",0.0,0.0,,,
52003508-7,SAENS POLIMEROS Y REVESTIMIENTOS LIMITADA,8,72,PERSONA JURIDICA COMERCIAL,CONSTRUCCION DE OTRAS OBRAS DE INGENIERIA CIVIL,I REGION DE TARAPACA,Manufactura / Retail,True,35.0,Manufactura Retail,Gestión y evaluación de riesgos en la cadena de suministro de materias primas y productos químicos para manufactura,"SAENS es una empresa mediana (72 trabajadores) en manufactura de polímeros y revestimientos ubicada en la I Región. No está regulada por CMF, Sernageomin, SEC o CNE específicamente (0 puntos). Por su tamaño mediano y naturaleza de manufactura con distribución retail, probablemente maneja entre 50-200 proveedores de materias primas, químicos e insumos (15 puntos). Sin señal externa registrada (0 puntos). El principal pain point es la evaluación de proveedores de sustancias químicas y materiales, donde Plutto puede automatizar la debida diligencia y detección de riesgos de cumplimiento normativo.",0.0,0.0,,,
52003549-4,HECTOR CHRISTIAN PORTE MATURANA E I R L,10,28,PERSONA JURIDICA COMERCIAL,VENTA AL POR MAYOR DE BEBIDAS ALCOHOLICAS Y NO ALCOHOLICAS,XIII REGION METROPOLITANA,Manufactura / Retail,True,40.0,Manufactura Retail,Gestión y evaluación de riesgos en la cadena de proveedores para asegurar calidad y cumplimiento normativo en operaciones de manufactura y retail,"La empresa es una EIRL de manufactura/retail con 28 trabajadores (gran empresa) en la RM. No está sujeta a regulación específica de CMF, Sernageomin, SEC o CNE típicamente. Con 28 empleados y operaciones en manufactura-retail, probablemente maneja entre 50-200 proveedores (15 puntos) para materias primas, componentes y servicios. Sin señal externa reportada (N/A = 0 puntos). El pain point principal es la necesidad de realizar debida diligencia y evaluación de riesgos en su base de proveedores, que es exactamente lo que Plutto soluciona.",0.0,0.0,,,
52003634-2,VICTOR MANUEL DELGADO SANCHEZ PANADDERIA Y SUPERMERCADO E I R L,8,29,PERSONA JURIDICA COMERCIAL,ELABORACION DE PRODUCTOS DE PANADERIA Y PASTELERIA,VIII REGION DEL BIO BIO,Manufactura / Retail,True,32.0,Manufactura Retail,"Gestión y evaluación de riesgos de proveedores de insumos y productos para la panadería y supermercado, considerando cumplimiento normativo alimentario y confiabilidad comercial.","Empresa mediana (29 trabajadores) en sector Manufactura Retail sin regulación específica de entidades como CMF, Sernageomin o CNE. No hay señal externa reportada. Dada su naturaleza de panadería y supermercado, típicamente maneja entre 50-200 proveedores (alimentos, bebidas, artículos varios, insumos de producción), asignando 15 puntos. El pain point principal es la debida diligencia de proveedores en la cadena de suministro alimentaria, donde Plutto podría agregar valor evaluando riesgos y cumplimiento.",0.0,0.0,,,
52003762-4,INGENIERIA Y DESARROLLO TECNOLOGICO LIMITADA,8,24,PERSONA JURIDICA COMERCIAL,"FABRICACION DE CARROCERIAS PARA VEHICULOS AUTOMOTORES, FABRICACION DE REMOLQUES Y SEMIRREMOLQUES",VIII REGION DEL BIO BIO,Manufactura / Retail,True,35.0,Manufactura Retail,Gestión y evaluación de riesgos en la cadena de proveedores para asegurar cumplimiento normativo y mitigación de riesgos operacionales,"La empresa es una PYME mediana (24 trabajadores) en manufactura retail sin regulación específica de entidades como CMF, Sernageomin, SEC o CNE. No presenta señal externa. Por su tamaño y naturaleza de manufactura/retail, probablemente gestiona entre 50-200 proveedores (15 puntos), típico para empresas de este segmento que requieren materias primas e insumos diversos. El principal pain_point es la debida diligencia en proveedores, donde Plutto agrega valor evaluando riesgos de colaboradores antes de establecer relaciones comerciales.",1.0,0.0,,,
52004080-3,JUAN ALEX OJEDA PEREZ PRESTADORA DE SERVICIOS MARITIMOS SPA,10,230,PERSONA JURIDICA COMERCIAL,TRANSPORTE DE CARGA POR VIAS DE NAVEGACION INTERIORES,X REGION LOS LAGOS,Utilities / Infraestructura,True,70.0,Utilities/Infraestructura,Gestión y evaluación de riesgos en cadena de suministro marítima con múltiples proveedores y cumplimiento normativo regulatorio,"Empresa de servicios marítimos con 230 trabajadores (gran empresa) operando en infraestructura portuaria. Giro marítimo-logístico implica regulación probable de CNE/Autoridades Marítimas y cumplimiento de normativas de seguridad portuaria. Con 230 trabajadores y operaciones en sector infraestructura, estimamos >200 proveedores de servicios especializados (mantenimiento, logística, insumos marítimos). Sin señal externa reportada (N/A). Pain point crítico: debida diligencia de proveedores en cadena logística compleja y cumplimiento regulatorio en sector altamente fiscalizado.",0.0,0.0,,,Baja
52004111-7,GORDON FISH SPA,9,36,PERSONA JURIDICA COMERCIAL,ELABORACION DE OTROS PRODUCTOS ALIMENTICIOS N.C.P.,V REGION VALPARAISO,Manufactura / Retail,True,32.0,Manufactura Retail,Gestión y evaluación de riesgos en cadena de proveedores de manufactura y distribución retail,"GORDON FISH SPA es una empresa mediana (36 trabajadores) en manufactura/retail sin regulación sectorial específica (CMF, Sernageomin, SEC, CNE no aplican). No presenta señal externa reportada. Por su tamaño y giro, se estima que maneja entre 50-200 proveedores típicos de operaciones de manufactura y distribución retail (puntuación 15). El pain point se centra en la evaluación de proveedores y detección de riesgos operacionales, que es el core value de Plutto para empresas de este perfil.",0.0,0.0,,,
52004141-9,TRANSPORTES LORENA SOLEDAD VARGAS REYES E I R L,8,23,PERSONA JURIDICA COMERCIAL,TRANSPORTE DE CARGA POR CARRETERA,XVI REGION DE ÑUBLE,Utilities / Infraestructura,True,47.0,Utilities/Infraestructura,Gestión de cumplimiento regulatorio en transporte y evaluación de riesgos de proveedores de logística y combustible,"Empresa de transporte (EIRL) con 23 trabajadores clasificada como mediana. Como prestador de servicios de transporte e infraestructura, está sujeta a regulación de la CNE (combustibles, eficiencia energética) y potencialmente SEC (transporte de carga). Con 23 trabajadores, una mediana empresa de transporte típicamente gestiona entre 50-200 proveedores (combustible, repuestos, mantenimiento, logística), justificando 15 puntos en proveedores. Sin señal externa registrada (N/A). El main pain point es la debida diligencia continua de sus múltiples proveedores críticos y el cumplimiento de regulaciones de transporte.",0.0,0.0,,,
