RUT_DV;Razón social;Tramo según ventas;Número de trabajadores;Tipo de contribuyente;Actividad económica;Región;Segmento;Scored;score;vertical;pain_point;reasoning;num_hijos;num_padres;Nombre_Fantasia;Sitio_Web;Confianza_Lookup
59059340-0;OBRASCON HUARTE LAIN S A AGENCIA EN CHILE;13;2272;SOCIEDADES EXTRANJERAS;CONSTRUCCION DE CARRETERAS Y LINEAS DE FERROCARRIL;XIII REGION METROPOLITANA;Manufactura / Retail;True;75.0;Manufactura Retail;Gestión y evaluación de riesgos en una cadena de proveedores compleja de gran escala, considerando sus múltiples filiales y estructura corporativa.;Obrascon Huarte Laín es una gran empresa constructora/manufacturera (2272 trabajadores) con estructura corporativa compleja (4 filiales, 1 matriz). No está sujeta a regulación específica de CMF, Sernageomin, SEC o CNE. Dada su tamaño, giro industrial y complejidad operativa, probablemente gestiona más de 200 proveedores en su cadena de suministro (construcción/manufactura requiere múltiples proveedores especializados). Sin señal externa reportada (N/A). El principal pain point es la debida diligencia continua sobre una base extensa de proveedores distribuidos en múltiples proyectos.;4.0;1.0;OHL;https://www.ohl.es;Media
76002538-0;TRANSPORTE LOGISTICO TIANEL SPA;11;2531;PERSONA JURIDICA COMERCIAL;TERMINACION Y ACABADO DE EDIFICIOS;XIII REGION METROPOLITANA;Mining / Energía;True;75.0;Mining/Energía;Gestión y evaluación de riesgos en una cadena de suministro compleja con cientos de proveedores logísticos y de transporte en el sector minero/energético;La empresa es una gran empresa (2531 trabajadores) en el sector Mining/Energía que opera servicios de transporte logístico. Probablemente está regulada por Sernageomin dada su participación en la cadena de valor minera (15 puntos regulación). Con este tamaño y complejidad operativa, estima >200 proveedores en su red logística (25 puntos proveedores). No hay señal externa reportada (0 puntos). El principal pain_point es la debida diligencia continua de múltiples proveedores de transporte y logística, críticos para cumplimiento normativo en Mining/Energía.;0.0;0.0;TIANEL;https://www.tianel.cl;Media
59236450-6;CONSTRUCCIONES URALES CHILE S.A;12;854;SOCIEDADES EXTRANJERAS;CONSTRUCCION DE CARRETERAS Y LINEAS DE FERROCARRIL;XIII REGION METROPOLITANA;Manufactura / Retail;True;73.0;Manufactura Retail;Gestión y evaluación de riesgos en una cadena extendida de proveedores y distribuidores en sectores de manufactura y retail, con necesidad de debida diligencia continua.;Construcciones Urales es una gran empresa (854 trabajadores) en manufactura/retail con estructura corporativa compleja (3 empresas hijas, 1 matriz). No está regulada por organismos supervisores específicos (CMF, Sernageomin, SEC, CNE). Su tamaño y modelo operativo sugieren una red amplia de proveedores (>200), típico en empresas de construcción y retail que manejan múltiples cadenas de suministro. Sin señal externa registrada. El ICP es alto por escala y complejidad operativa que genera necesidad de compliance robusto.;3.0;1.0;;;Baja
59061500-5;ACCIONA AGUA S.A.U. AGENCIA EN CHILE;11;51;SOCIEDADES EXTRANJERAS;CAPTACION, TRATAMIENTO Y DISTRIBUCION DE AGUA;XIII REGION METROPOLITANA;Utilities / Infraestructura;True;73.0;Utilities/Infraestructura;Gestión y evaluación de riesgos de proveedores en cadena de suministro de infraestructura hídrica, con cumplimiento normativo de reguladores como la CNE y autoridades sanitarias.;ACCIONA AGUA es empresa del sector utilities/infraestructura hídrica. Está regulada por entidades como CNE y autoridades sanitarias relevantes (15 puntos regulación). Como gran empresa (51 trabajadores) en infraestructura con 3 filiales, probablemente maneja entre 50-200 proveedores en operaciones de tratamiento y distribución de agua (15 puntos proveedores). No hay señal externa reportada (0 puntos). El pain point es la debida diligencia de proveedores críticos en sector regulado donde Plutto agrega valor en compliance.;3.0;1.0;ACCIONA AGUA;https://www.acciona.com;Media
70287900-0;COOPERATIVA DE ABASTECIMIENTO DE ENERGIA ELECTRICA CURICO LIMITADA;11;53;ORG. SIN FINES DE LUCRO;DISTRIBUCION DE ENERGIA ELECTRICA;VII REGION DEL MAULE;Mining / Energía;True;73.0;Mining/Energía;Gestión y evaluación de riesgos de proveedores de energía eléctrica y cumplimiento normativo ante múltiples reguladores;La empresa es una cooperativa de abastecimiento de energía eléctrica, sector regulado por CNE (Comisión Nacional de Energía), lo que justifica 15 puntos en regulación. Con 53 trabajadores y 6 empresas hijas, se estima una cadena de suministro de tamaño medio con probablemente 50-200 proveedores (15 puntos). No hay señal externa reportada (0 puntos). El vertical ya venía clasificado como Mining/Energía, por lo que se mantiene sin cambios.;6.0;0.0;COOPELECTRIC;https://www.coopelectric.cl;Media
61105000-3;FABRICAS Y MAESTRANZAS DEL EJERCITO;13;757;INSTITUCIONES FISCALES;MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES;XIII REGION METROPOLITANA;Manufactura / Retail;True;73.0;Manufactura Retail;Gestión y evaluación de riesgos en una cadena compleja de proveedores y distribuidores, considerando el tamaño y alcance operacional de la empresa.;FAME es una gran empresa estatal (757 trabajadores) del sector manufactura retail con 4 filiales, lo que indica una estructura operacional compleja. No presenta regulación sectorial específica (no es financiero, minería, utilities ni energético). Dado su tamaño y naturaleza de manufactura-retail, probablemente maneja más de 200 proveedores en su cadena de suministro y distribución. Sin señal externa reportada (N/A). El principal desafío radica en la debida diligencia de múltiples proveedores y la evaluación continua de riesgos en una operación de esta magnitud.;4.0;0.0;FAMAE;https://www.famae.cl;Alta
76000739-0;ESVAL S.A.;13;853;PERSONA JURIDICA COMERCIAL;CAPTACION, TRATAMIENTO Y DISTRIBUCION DE AGUA;V REGION VALPARAISO;Utilities / Infraestructura;True;73.0;Utilities/Infraestructura;Gestión de debida diligencia y cumplimiento normativo de una cadena extensa de proveedores en un sector altamente regulado;ESVAL S.A. es una empresa sanitaria (utilities/infraestructura) en la Región de Valparaíso, por lo que está regulada por la Superintendencia de Servicios Sanitarios (SSS), organismo que depende de la CNE. Dado su tamaño (gran empresa con 853 trabajadores) y su rol como prestadora de servicios esenciales de agua potable y alcantarillado, probablemente maneja más de 200 proveedores (construcción, operación, mantenimiento, insumos químicos, etc.). No hay señal externa reportada. El pain point principal es la necesidad de evaluar y monitorear continuamente a proveedores en un contexto de alta regulación y responsabilidad pública.;0.0;2.0;ESVAL;https://www.esval.cl;Alta
76002528-3;LOGINSA BIOMEDICAL LIMITADA;11;358;PERSONA JURIDICA COMERCIAL;OTROS SERVICIOS DE ALMACENAMIENTO Y DEPOSITO N.C.P.;XIII REGION METROPOLITANA;Utilities / Infraestructura;True;73.0;Utilities/Infraestructura;Gestión de cumplimiento regulatorio y debida diligencia de una red extensa de proveedores en sector crítico de infraestructura;La empresa LOGINSA BIOMEDICAL opera en Utilities/Infraestructura con 358 trabajadores (gran empresa), ubicada en RM. Por su giro en utilities/infraestructura, está probablemente regulada por CNE (Comisión Nacional de Energía) o entidades similares de fiscalización de servicios críticos (15 puntos). Con 358 trabajadores y estructura corporativa (1 empresa hija, 2 padres), es probable que maneje una cadena de proveedores >200 para operaciones de infraestructura (25 puntos). Sin señal externa reportada (0 puntos). El pain_point principal es la evaluación de riesgos de compliance y proveedores en un sector regulado y crítico, donde Plutto agrega valor significativo.;1.0;2.0;;;Baja
59207190-8;DELIBEST AGENCIA EN CHILE;11;64;SOCIEDADES EXTRANJERAS;FONDOS Y SOCIEDADES DE INVERSION Y ENTIDADES FINANCIERAS SIMILARES;XIII REGION METROPOLITANA;Financiero;True;71.0;Financiero;Gestión y evaluación de riesgos de proveedores y contrapartes en el sector financiero, cumplimiento normativo de debida diligencia y detección de operaciones sospechosas.;La empresa DELIBEST opera en el giro Financiero, por lo que está probablemente regulada por CMF (Comisión para el Mercado Financiero), otorgando 15 puntos en regulación. Con 64 trabajadores clasificada como gran empresa y 3 filiales, se estima una cantidad de proveedores entre 50-200, asignando 15 puntos. No hay señal externa proporcionada (N/A = 0 puntos). El tamaño y estructura de la empresa, junto con su naturaleza financiera, sugiere un perfil de ICP relevante para Plutto con puntuación total de 30 puntos.;3.0;0.0;Delibest;https://www.delibest.cl;Media
76002201-2;HANSEATIC GLOBAL TERMINALS LATIN AMERICA S.A.;13;101;PERSONA JURIDICA COMERCIAL;FONDOS Y SOCIEDADES DE INVERSION Y ENTIDADES FINANCIERAS SIMILARES;XIII REGION METROPOLITANA;Financiero;True;71.0;Financiero;Gestión y evaluación de riesgos regulatorios en una red compleja de 13 empresas filiales y múltiples proveedores en sector financiero regulado;Regulacion (15): Como empresa del giro Financiero en Chile, está regulada por la CMF (Comisión para el Mercado Financiero), entidad supervisora del sector. Proveedores (15): Una gran empresa (101 trabajadores) con 13 filiales en sector financiero típicamente maneja entre 50-200 proveedores considerando operaciones, servicios, logística y terceros especializados. Señal (0): No hay señal externa proporcionada (N/A). El caso es ideal para Plutto dado que requiere supervisión continua de proveedores y cumplimiento regulatorio en estructura corporativa compleja.;13.0;2.0;Hanseatic Global Terminals;https://www.hanseaticglobal.com;Media
52004080-3;JUAN ALEX OJEDA PEREZ PRESTADORA DE SERVICIOS MARITIMOS SPA;10;230;PERSONA JURIDICA COMERCIAL;TRANSPORTE DE CARGA POR VIAS DE NAVEGACION INTERIORES;X REGION LOS LAGOS;Utilities / Infraestructura;True;70.0;Utilities/Infraestructura;Gestión y evaluación de riesgos en cadena de suministro marítima con múltiples proveedores y cumplimiento normativo regulatorio;Empresa de servicios marítimos con 230 trabajadores (gran empresa) operando en infraestructura portuaria. Giro marítimo-logístico implica regulación probable de CNE/Autoridades Marítimas y cumplimiento de normativas de seguridad portuaria. Con 230 trabajadores y operaciones en sector infraestructura, estimamos >200 proveedores de servicios especializados (mantenimiento, logística, insumos marítimos). Sin señal externa reportada (N/A). Pain point crítico: debida diligencia de proveedores en cadena logística compleja y cumplimiento regulatorio en sector altamente fiscalizado.;0.0;0.0;;;Baja
59219040-0;CIMOLAI S.P.A AGENCIA EN CHILE;11;303;SOCIEDADES EXTRANJERAS;TERMINACION Y ACABADO DE EDIFICIOS;XIII REGION METROPOLITANA;Mining / Energía;True;70.0;Mining/Energía;Gestión y evaluación de riesgos de proveedores en cadena de suministro minera/energética, con cumplimiento de regulaciones de Sernageomin y estándares de seguridad operacional;CIMOLAI es una gran empresa (303 trabajadores) en el sector Mining/Energía con empresa matriz, operando en Chile. Sector altamente regulado por Sernageomin (15 pts). Como empresa grande en mining/energía típicamente maneja >200 proveedores para operaciones, mantenimiento y servicios especializados (25 pts). Sin señal externa reportada (0 pts). El pain point se alinea con necesidad crítica en mining: evaluar proveedores bajo regulaciones estrictas y mitigar riesgos operacionales.;0.0;1.0;CIMOLAI;https://www.cimolai.com;Media
59029940-5;AMERICAN AIRLINES INC;13;202;SOCIEDADES EXTRANJERAS;TRANSPORTE DE PASAJEROS POR VIA AEREA;XIII REGION METROPOLITANA;Utilities / Infraestructura;True;70.0;Utilities/Infraestructura;Gestión y cumplimiento normativo de una extensa red de proveedores y contratistas en operaciones aéreas, mantenimiento de flota y servicios de infraestructura aeroportuaria.;American Airlines es una aerolínea internacional de gran escala regulada por la SEC (cotiza en bolsa) y sujeta a regulaciones de transporte aéreo. Como empresa de servicios de infraestructura/transporte, requiere supervisión regulatoria constante (+15 puntos). Dada su tamaño (202 trabajadores reportados, aunque la empresa real es significativamente mayor) y naturaleza operativa, maneja una cadena de suministro extensa con >200 proveedores (mantenimiento, combustible, catering, servicios de rampa, etc.) (+25 puntos). Sin señal externa reportada en los datos proporcionados (+0 puntos). El dolor principal es la gestión del riesgo de proveedores en un ecosistema altamente regulado y crítico para operaciones.;0.0;0.0;American Airlines;https://www.aa.com;Alta
60806000-6;CASA DE MONEDA DE CHILE S.A.;11;376;PERSONA JURIDICA COMERCIAL;FABRICACION DE OTROS PRODUCTOS ELABORADOS DE METAL N.C.P.;XIII REGION METROPOLITANA;Manufactura / Retail;True;70.0;Manufactura Retail;Gestión y evaluación de riesgos en una cadena compleja de proveedores de materiales, insumos y servicios especializados para producción de moneda y valores de seguridad.;Casa de Moneda de Chile es una entidad estatal regulada por normativas específicas de seguridad, producción de valores y control de materiales sensibles (15 puntos por regulación). Como gran empresa manufacturera (376 trabajadores) con operaciones de producción y distribución, probablemente gestiona >200 proveedores para abastecimiento de metales, químicos, equipos y servicios especializados (25 puntos). Sin señal externa reportada (0 puntos). El pain point principal es la debida diligencia compleja en una cadena de suministro regulada y de alto riesgo.;0.0;2.0;Casa de Moneda de Chile;https://www.casademoneda.cl;Alta
76000957-1;ALGORTA NORTE SA;13;482;PERSONA JURIDICA COMERCIAL;EXTRACCION DE MINERALES PARA LA FABRICACION DE ABONOS Y PRODUCTOS QUIMICOS N.C.P.;XIII REGION METROPOLITANA;Mining / Energía;True;70.0;Mining/Energía;Gestión de debida diligencia y evaluación de riesgos en una cadena compleja de proveedores y colaboradores en el sector minero-energético, con cumplimiento de regulaciones múltiples.;Algorta Norte SA opera en Mining/Energía, sector altamente regulado por Sernageomin y potencialmente por CNE. Como gran empresa (482 trabajadores) en este rubro intensivo en operaciones, probablemente gestiona más de 200 proveedores (contratistas, suministradores, servicios especializados). Sin señal externa reportada (N/A). El pain point refleja la necesidad crítica en empresas mineras de evaluar proveedores y mitigar riesgos de cumplimiento regulatorio, seguridad y reputación.;0.0;2.0;;;Baja
70843700-K;ASOC GREMIAL DE DUENOS DE CAMIONES DE CALAMA;12;21;ORG. SIN FINES DE LUCRO;TRANSPORTE DE CARGA POR CARRETERA;II REGION DE ANTOFAGASTA;Utilities / Infraestructura;True;70.0;Utilities/Infraestructura;Gestionar la conformidad regulatoria y debida diligencia de múltiples proveedores de transporte y logística, asegurando cumplimiento de normativas de seguridad vial y licencias de operación.;La asociación gremial de dueños de camiones está regulada por la CNE (Comisión Nacional de Energía) y organismos de transporte terrestre, por lo que recibe 15 puntos en regulación. Como asociación gremial con 21 trabajadores y 5 empresas hijas, probablemente gestiona entre 50-200 proveedores (servicios de mantenimiento, combustible, seguros, repuestos), obteniendo 15 puntos. No hay señal externa reportada (N/A = 0 puntos). El giro ya estaba correctamente clasificado en Utilities/Infraestructura.;5.0;0.0;;;Baja
76001363-3;SIED CHILE SPA;10;12;PERSONA JURIDICA COMERCIAL;FONDOS Y SOCIEDADES DE INVERSION Y ENTIDADES FINANCIERAS SIMILARES;XIII REGION METROPOLITANA;Financiero;True;68.0;Financiero;Gestión de cumplimiento normativo y debida diligencia de proveedores y contrapartes en un sector altamente regulado;SIED CHILE es una empresa del giro Financiero con 12 trabajadores clasificada como gran empresa, probablemente una holding o entidad financiera. Su naturaleza financiera implica regulación obligatoria por CMF (Comisión para el Mercado Financiero) en Chile, otorgando 15 puntos. Con estructura de 7 empresas hijas y 1 padre, requiere probablemente entre 50-200 proveedores para operaciones (servicios financieros, tecnología, outsourcing), asignando 15 puntos. Sin señal externa reportada (N/A), se asignan 0 puntos. El sector financiero enfrenta presión regulatoria creciente en KYB/AML, haciendo crítico el control de riesgos en su ecosistema de negocios.;7.0;1.0;;;Baja
61952700-3;EMPRESA PORTUARIA VALPARAISO;12;66;PERSONA JURIDICA COMERCIAL;OTROS SERVICIOS DE ALMACENAMIENTO Y DEPOSITO N.C.P.;V REGION VALPARAISO;Utilities / Infraestructura;True;68.0;Utilities/Infraestructura;Gestión y evaluación del riesgo de proveedores críticos en operaciones portuarias, cumplimiento normativo regulatorio y debida diligencia en cadena de suministro compleja.;Empresa Portuaria Valparaíso es una entidad de infraestructura crítica regulada por la CNE y autoridades portuarias chilenas (15 puntos regulación). Como operador portuario de gran escala (66 trabajadores, gran empresa), requiere múltiples proveedores especializados en logística, mantención, seguridad, servicios marítimos y suministros (estimado >200 proveedores = 25 puntos). Sin señal externa reportada (0 puntos). El ICP es relevante para gestionar riesgos en cadena de suministro portuaria de alto cumplimiento regulatorio.;0.0;0.0;EMPRESA PORTUARIA VALPARAISO;https://www.epv.cl;Alta
59073330-K;DRAGADOS S A  AGENCIA EN CHILE;11;57;SOCIEDADES EXTRANJERAS;CONSTRUCCION DE CARRETERAS Y LINEAS DE FERROCARRIL;XIII REGION METROPOLITANA;Manufactura / Retail;True;68.0;Manufactura Retail;Gestión y evaluación de riesgos en una cadena compleja de 15 empresas filiales y múltiples proveedores, requiriendo debida diligencia continua para cumplimiento normativo y mitigación de riesgos operacionales.;Dragados es una gran empresa (57 trabajadores, tramo 11 SII) en manufactura retail con estructura corporativa compleja (15 filiales). No está regulada por CMF, Sernageomin, SEC o CNE. Dada su tamaño y estructura multinivel, probablemente maneja >200 proveedores (manufactura requiere cadena de suministros extensa), asignando 25 puntos. Sin señal externa reportada (N/A = 0 puntos). Regulación: 0 puntos (no es sector regulado específicamente).;15.0;1.0;Dragados;https://www.dragados.com;Alta
61960100-9;EMPRESA PORTUARIA SAN ANTONIO;13;89;PERSONA JURIDICA COMERCIAL;OTROS SERVICIOS DE ALMACENAMIENTO Y DEPOSITO N.C.P.;V REGION VALPARAISO;Utilities / Infraestructura;True;68.0;Utilities/Infraestructura;Gestión y evaluación de riesgos en la cadena de suministro de una empresa portuaria con múltiples proveedores críticos de infraestructura y operaciones;Como empresa portuaria, EMPRESA PORTUARIA SAN ANTONIO está regulada por la CNE (operaciones energéticas) y potencialmente por autoridades marítimas. Su naturaleza de infraestructura crítica justifica 15 puntos en regulación. Con 89 trabajadores y operaciones portuarias complejas, típicamente maneja >200 proveedores (transportistas, contratistas, servicios, materiales), lo que suma 25 puntos. Sin señal externa reportada = 0 puntos. El pain_point clave es la debida diligencia en proveedores de una operación portuaria de alto riesgo regulatorio.;0.0;0.0;Puerto San Antonio;https://www.puertosanantonio.cl;Alta
76000878-8;INVERSIONES CALVO PUIG SPA;11;15;PERSONA JURIDICA COMERCIAL;FONDOS Y SOCIEDADES DE INVERSION Y ENTIDADES FINANCIERAS SIMILARES;V REGION VALPARAISO;Financiero;True;68.0;Financiero;Gestión de debida diligencia en cadena de suministro y evaluación de riesgo de contrapartes en operaciones financieras y de inversión;Como empresa del giro Financiero en Chile, INVERSIONES CALVO PUIG SPA está probablemente regulada por la CMF (Comisión para el Mercado Financiero), asignando 15 puntos por regulación. Con 14 empresas hijas y 4 padres, más su clasificación como gran empresa (15 trabajadores), se estima una estructura de operaciones que requeriría entre 50-200 proveedores para servicios financieros, auditoría, cumplimiento y operacionales, asignando 15 puntos. Sin señal externa reportada (N/A), se asignan 0 puntos. El pain point refleja la necesidad crítica del sector financiero de validar contrapartes y proveedores bajo estándares de compliance regulatorio.;14.0;4.0;;;Baja
