rut,company_name,score,vertical,tamaño,holding,trabajadores,regulacion,proveedores,segmento,señal,pain_point,reasoning,giro,tramo,region,error
95980000-6,FORESTAL O HIGGINS S A,55,Mining/Energía,20,0,0,15,15,5,0,"Gestionar la conformidad regulatoria forestal y ambiental, evaluar la debida diligencia de proveedores de servicios forestales y colaboradores, y mitigar riesgos de sostenibilidad y cumplimiento normativo.","La empresa FORESTAL O HIGGINS S.A. opera en extracción de madera, sector claramente vinculado a recursos naturales y energía. Está regulada por Sernageomin y normativas ambientales forestales (CONAF, Superintendencia de Medio Ambiente). Con 49 trabajadores (gran empresa) y operaciones forestales, probablemente maneja entre 50-200 proveedores (contratistas, transportistas, servicios especializados). Sin señal externa documentada (N/A).",EXTRACCION DE MADERA,13,LAS CONDES,
76536499-K,JUNGHEINRICH RENTALIFT SPA,38,Otro,20,0,3,0,15,0,0,"Gestión y evaluación de riesgos de proveedores de equipos y maquinaria, especialmente en cadenas de suministro complejas de alquiler industrial","JUNGHEINRICH RENTALIFT es una empresa de alquiler de maquinaria y equipos sin operario, clasificada como 'Otro' por no encajar en verticales específicos (no es financiera, minería/energía, utilities, ni manufactura retail tradicional). No está regulada por CMF, Sernageomin, SEC o CNE (0 puntos regulación). Con 179 trabajadores (gran empresa) y modelo de negocio de alquiler, probablemente maneja entre 50-200 proveedores de equipos, repuestos, mantenimiento y logística (15 puntos proveedores). Sin señal externa reportada (0 puntos señal). El pain point principal es evaluar la solvencia y riesgos de sus proveedores críticos de maquinaria e insumos.",ALQUILER DE OTROS TIPOS DE MAQUINARIAS Y EQUIPOS SIN OPERARIO N.C.P.,13,PUDAHUEL,
99577330-9,TRANSDEV CHILE S.A.,50,Utilities/Infraestructura,12,0,3,15,15,5,0,Gestión de cumplimiento regulatorio en transporte urbano y evaluación de proveedores de servicios de mantención y combustible,"TRANSDEV CHILE opera en transporte urbano de pasajeros, sector que corresponde a Utilities/Infraestructura por su naturaleza de servicio público esencial. Está regulada por autoridades de transporte y probablemente por SEC (Superintendencia de Electricidad y Combustibles) si utiliza combustibles, asignando 15 puntos. Con 58 trabajadores (mediana) y operaciones de flota, requiere entre 50-200 proveedores típicamente (mantención, combustible, repuestos, logística), asignando 15 puntos. Sin señal externa reportada = 0 puntos. El sector transporte requiere cumplimiento regulatorio estricto y debida diligencia en proveedores críticos.",TRANSPORTE URBANO Y SUBURBANO DE PASAJEROS VIA LOCOMOCION COLECTIVA,9,HUECHURABA,
84687500-K,STELLANTIS CHILE S.A.,53,Manufactura Retail,20,0,3,0,25,5,0,"Gestión y evaluación de riesgos en una red compleja de proveedores de autopartes, componentes y servicios logísticos para operaciones de distribución automotriz a nivel nacional.","Stellantis es un fabricante y distribuidor automotriz global (resultado de fusión Fiat-Chrysler-PSA). En Chile opera como distribuidor mayorista de vehículos, clasificándose en Manufactura Retail. No está regulada por CMF, Sernageomin, SEC o CNE (puntaje regulación=0). Por su escala global, operaciones complejas y modelo de distribución, requiere >200 proveedores incluyendo fabricantes, logística, servicios (puntaje=25). Sin señal externa reportada (puntaje=0). ICP alto por tamaño (gran empresa=20 pts) + alta complejidad de cadena de suministro donde Plutto agregue valor en debida diligencia de proveedores.",VENTA AL POR MAYOR DE VEHICULOS AUTOMOTORES,13,HUECHURABA,
96887360-1,COLD CHILE SA,38,Otro,20,0,3,0,15,0,0,"Gestión y evaluación de riesgos de proveedores logísticos y de almacenamiento, cumplimiento normativo en cadena de suministro, y debida diligencia de clientes en operaciones de depósito.","Cold Chile SA es una empresa de almacenamiento y depósito (giro específico no clasificado en verticales principales). Con 131 trabajadores es una gran empresa que probablemente maneja entre 50-200 proveedores de servicios logísticos, infraestructura y operacionales (15 puntos). No tiene indicadores de regulación específica por CMF, Sernageomin, SEC o CNE (0 puntos). Sin señal externa reportada (0 puntos). Se clasifica en 'Otro' ya que no es Financiero, Mining, Utilities o Manufactura Retail, siendo un proveedor de servicios logísticos especializado.",OTROS SERVICIOS DE ALMACENAMIENTO Y DEPOSITO N.C.P.,11,QUILICURA,
78034470-9,LINDE HIGH LIFT CHILE S A,70,Mining/Energía,20,0,5,15,25,5,0,"Gestión y evaluación de riesgos de proveedores de equipos especializados en operaciones de mining y energía, con énfasis en cumplimiento normativo y seguridad industrial.","Linde es una multinacional de gases y equipos industriales con presencia fuerte en mining y energía. Su giro de 'venta al por mayor de maquinaria y equipo' aplicado a esta empresa específica apunta claramente al sector Mining/Energía. Con 304 trabajadores (gran empresa) y operación en Chile, probablemente está regulada por Sernageomin dado que provee equipos críticos para operaciones mineras. Una empresa de este tamaño en este rubro maneja típicamente >200 proveedores globales. Sin señal externa reportada (N/A), se asigna 0 puntos. Total: 40 puntos.",VENTA AL POR MAYOR DE OTROS TIPOS DE MAQUINARIA Y EQUIPO N.C.P.,13,RENCA,
96856780-2,ISAPRE CONSALUD S A,73,Financiero,20,0,10,15,25,3,0,"Gestionar la debida diligencia y compliance regulatorio de una cartera extensa de proveedores, colaboradores y prestadores de servicios en el sector sanitario, asegurando cumplimiento con normativas de la CMF y protección de datos sensibles de afiliados.","ISAPRE Consalud es una institución de salud previsional regulada por la CMF (Comisión para el Mercado Financiero), lo que genera 15 puntos de regulación. Como empresa grande (2,152 trabajadores) en el sector salud, requiere gestionar múltiples proveedores (farmacéuticos, hospitales, clínicas, servicios administrativos, seguros complementarios) estimados entre 200-300 proveedores, otorgando 25 puntos. No hay señal externa reportada (N/A = 0 puntos). La clasificación en 'Financiero' es apropiada dado que las ISAPREs son intermediarios financieros sanitarios regulados por entidad financiera.",ACTIVIDADES DE ISAPRES,13,LAS CONDES,
76448760-5,BRIDGE VENTURES SPA,53,Financiero,20,0,0,15,15,3,0,"Necesidad de evaluar y monitorear el perfil de riesgo de clientes y contrapartes en operaciones de leasing, asegurando cumplimiento normativo con CMF y mitigando riesgo de lavado de activos.","La empresa BRIDGE VENTURES SPA con giro 'Leasing Financiero' se clasifica en vertical Financiero. Al ser intermediario financiero regulado por CMF, obtiene 15 puntos en regulación. Como empresa de leasing con 7 trabajadores en estructura pequeña-mediana, probablemente gestiona entre 50-200 proveedores (instituciones, proveedores de vehículos/activos, servicios), asignando 15 puntos. Sin señal externa reportada: 0 puntos. El pain point se enfoca en compliance y debida diligencia de contrapartes, que es el core de Plutto.",LEASING FINANCIERO,11,PIRQUE,
96939240-2,COMPANIA  MANTOS DE LA LUNA S A,58,Mining/Energía,20,0,3,15,15,5,0,Gestión de cumplimiento regulatorio ante Sernageomin y evaluación de riesgos de proveedores en cadena de suministro minera,"La empresa se clasifica en Mining/Energía por su giro explícito de 'EXTRACCION Y PROCESAMIENTO DE COBRE'. Está regulada por Sernageomin como operadora minera (15 pts). Con 55 trabajadores y operaciones de extracción/procesamiento, se estima manejo de 50-200 proveedores considerando servicios, insumos y logística (15 pts). No hay señal externa reportada (0 pts). El pain_point se enfoca en compliance regulatorio minero y due diligence de proveedores, core de Plutto.",EXTRACCION Y PROCESAMIENTO DE COBRE,13,TOCOPILLA,
76211240-K,KAUDAT SPA,38,Otro,20,0,3,0,15,0,0,Gestión y evaluación de riesgos en la cadena de proveedores de servicios de apoyo empresarial,"KAUDAT SPA opera en 'Otras actividades de servicios de apoyo a las empresas n.c.p.', un giro genérico que no se alinea específicamente con los verticales predefinidos, por lo que se clasifica como 'Otro'. No existe evidencia de regulación por CMF, Sernageomin, SEC o CNE para este tipo de servicios administrativos. Como gran empresa (79 trabajadores) en servicios de apoyo empresarial, probablemente gestiona entre 50-200 proveedores para operaciones internas, asignando 15 puntos. Sin señal externa registrada (N/A). El pain point se enfoca en que empresas de servicios de apoyo requieren evaluar y gestionar riesgos en sus propias cadenas de valor, área donde Plutto ofrece solución directa.",OTRAS ACTIVIDADES DE SERVICIOS DE APOYO A LAS EMPRESAS N.C.P.,12,EST CENTRAL,
96778160-6,ECOPRENEUR CHILE S A,35,Otro,20,0,0,0,15,0,0,Gestión y evaluación de riesgos en la cadena de proveedores de servicios técnicos y consultorías de ingeniería,"ECOPRENEUR CHILE es una empresa de servicios de ingeniería y consultoría técnica que no se alinea con los verticales principales especificados (Financiero, Mining/Energía, Utilities, Manufactura Retail). Se clasifica en 'Otro'. No está regulada por CMF, Sernageomin, SEC o CNE (regulación=0). Como empresa de 44 trabajadores en servicios técnicos, probablemente maneja entre 50-200 proveedores para sus operaciones (consultoría, infraestructura, subcontrataciones), asignando 15 puntos. Sin señal externa reportada (N/A). El pain_point radica en que empresas de consultoría técnica requieren evaluar constantemente a sus propios proveedores y colaboradores para mantener estándares de calidad y cumplimiento normativo en sus proyectos.",EMPRESAS DE SERVICIOS DE INGENIERIA Y ACTIVIDADES CONEXAS DE CONSULTORIA TECNICA,11,LAS CONDES,
76079225-K,INMOBILIARIA RIO CLARO S.A.,17,Otro,2,0,0,0,15,0,0,"Validación y evaluación de riesgos de proveedores inmobiliarios (constructoras, contratistas, proveedores de servicios) y clientes compradores/arrendatarios para mitigar riesgos legales y financieros.","La empresa es una inmobiliaria dedicada a compra, venta y alquiler de inmuebles. No califica en verticales específicos (Financiero, Mining/Energía, Utilities/Infraestructura, Manufactura Retail), por lo que se clasifica como 'Otro'. No está regulada por CMF, Sernageomin, SEC o CNE (0 puntos regulación). Como microempresa inmobiliaria, maneja proveedores de construcción, servicios, y gestión de propiedades, estimando entre 50-200 proveedores (15 puntos). Sin señal externa reportada (0 puntos). El pain_point relevante es la necesidad de evaluar contrapartes en transacciones inmobiliarias.","COMPRA, VENTA Y ALQUILER (EXCEPTO AMOBLADOS) DE INMUEBLES",2,TEMUCO,
60810000-8,COMISION PARA EL MERCADO FINANCIERO,43,Financiero,2,0,8,15,15,3,0,Gestión de debida diligencia de múltiples intermediarios financieros y verificación de cumplimiento normativo en cadenas de proveedores del sector financiero,"La Comisión para el Mercado Financiero (CMF) es el regulador principal del mercado financiero chileno. Se clasifica en vertical 'Financiero' por su naturaleza institucional. Recibe 15 puntos en regulación porque es una entidad reguladora en sí misma y opera bajo estricta supervisión normativa. En proveedores se estiman 50-200 (15 puntos) considerando que una institución pública de este tamaño (717 trabajadores) requiere servicios diversos: tecnología, logística, consultoría legal y compliance. Sin señal externa reportada (N/A) = 0 puntos. El pain point se enfoca en que Plutto podría ayudar a la CMF a fortalecer su propia cadena de debida diligencia de proveedores y colaboradores.",ACTIVIDADES DE LA ADMINISTRACION PUBLICA EN GENERAL,4,SANTIAGO,
70001650-1,CAMARA FRANCO CHILENA PARA EL COMERCIO Y,5,Otro,5,0,0,0,0,0,0,Gestión y evaluación de proveedores internacionales en operaciones comerciales transfronterizas,"La empresa es una cámara binacional (Franco-Chilena) dedicada a actividades de asociación comercial, clasificada como 'Otro' ya que no encaja en verticales específicos (no es financiero, mining, utilities ni manufactura retail). No está regulada por CMF, Sernageomin, SEC o CNE (0 puntos). Como organización de 3 personas dedicada a facilitar comercio bilateral, probablemente maneja <50 proveedores directos (0 puntos). Sin señal externa reportada (0 puntos). El pain point se enfoca en su rol facilitador: necesita validar y evaluar proveedores/clientes en transacciones comerciales franco-chilenas, donde Plutto podría agregar valor en debida diligencia transfronteriza.",ACTIVIDADES DE OTRAS ASOCIACIONES N.C.P.,6,PROVIDENCIA,
76455225-3,JX NIPPON MINING  METALS CHILE SPA,47,Mining/Energía,12,0,0,15,15,5,0,"Gestión y evaluación de riesgos en cadena de proveedores de operaciones mineras, cumplimiento normativo ante Sernageomin y asegurar compliance en actividades de apoyo a la industria extractiva.","La empresa JX NIPPON MINING METALS es claramente del sector minero (nombre explícito) con operaciones en Chile. Aunque el giro registrado es genérico ('servicios de apoyo a empresas'), el nombre y contexto indican actividades vinculadas a mining. Se clasifica en Mining/Energía. Regulación: 15 puntos - empresa minera está regulada por Sernageomin. Proveedores: 15 puntos - con 26 trabajadores es mediana, probablemente maneja 50-200 proveedores típicos en operaciones de apoyo minero. Señal: 0 puntos - sin señal externa reportada (N/A). El pain point se enfoca en la necesidad crítica de KYB en supply chain minero y compliance regulatorio.",OTRAS ACTIVIDADES DE SERVICIOS DE APOYO A LAS EMPRESAS N.C.P.,9,LAS CONDES,
96618010-2,FRUTICOLA AGRICHILE S A,50,Manufactura Retail,20,0,10,0,15,5,0,"Gestión y debida diligencia de proveedores agrícolas, distribuidores y logística en cadena de suministro compleja","La empresa es una frutícola dedicada al cultivo de frutas de pepita y hueso. Se clasifica en Manufactura Retail por ser productor agrícola con operaciones de transformación y comercialización. Con 1.057 trabajadores (gran empresa) y operaciones agrícolas integradas, probablemente maneja entre 50-200 proveedores (insumos, servicios agrícolas, logística, distribución). No tiene regulación específica de entes como CMF, Sernageomin o CNE aplicable a su giro. Sin señal externa reportada. El pain point crítico es evaluar y monitorear proveedores en una cadena agrícola compleja con múltiples eslabones.",CULTIVO DE FRUTAS DE PEPITA Y DE HUESO,13,CURICO,
96513050-0,VALLE NEVADO S A,60,Manufactura Retail,20,0,10,0,25,5,0,"Gestión y evaluación de riesgos en una cadena compleja de proveedores de servicios hoteleros (alimentos, limpieza, mantenimiento, suministros) con más de 1.000 empleados","Valle Nevado es un complejo hotelero/centro de esquí de gran escala (1.041 trabajadores). Se clasifica en 'Manufactura Retail' por ser operación de hospitalidad con fuerte componente de servicios y retail. No está regulado por CMF, Sernageomin, SEC o CNE. Dado su tamaño y operaciones, gestiona probablemente >200 proveedores especializados (alimentos, bebidas, limpieza, mantenimiento, equipos de esquí, transporte). Sin señal externa reportada. El pain point clave es la debida diligencia de múltiples proveedores en un entorno de alta estacionalidad y complejidad operativa.",ACTIVIDADES DE HOTELES,12,LO BARNECHEA,
76511583-3,RED ELECTRICA CHILE SPA,55,Mining/Energía,20,0,0,15,15,5,0,"Gestión de riesgos regulatorios y cumplimiento normativo en la cadena de suministro energética, incluyendo evaluación de proveedores críticos para operaciones de distribución eléctrica.","La empresa RED ELECTRICA CHILE SPA se clasifica en Mining/Energía debido a su nombre y giro relacionado con asesoría en inversión financiera en el sector eléctrico. Probablemente está regulada por la CNE (Comisión Nacional de Energía) como parte del ecosistema eléctrico chileno, por lo que recibe 15 puntos. Con 42 trabajadores (gran empresa) y siendo una empresa de consultoría/asesoramiento en el sector energético, se estima que maneja entre 50-200 proveedores, otorgando 15 puntos. No hay señal externa reportada (N/A), por lo que recibe 0 puntos. El pain point principal es la necesidad de evaluar y monitorear proveedores y contrapartes en un sector altamente regulado.","EMPRESAS DE ASESORIA Y CONSULTORIA EN INVERSION FINANCIERA, SOCIEDADES DE APOYO AL GIRO",11,LAS CONDES,
88481800-1,ICAFAL INGENIERIA Y CONSTRUCCION S A,75,Utilities/Infraestructura,20,0,10,15,25,5,0,"Gestión de debida diligencia en cadena de proveedores de construcción e ingeniería civil, con énfasis en cumplimiento regulatorio y evaluación de riesgos de contratistas y subcontratistas.","Se clasificó en Utilities/Infraestructura porque el giro 'CONSTRUCCION DE CARRETERAS Y LINEAS DE FERROCARRIL' corresponde claramente a proyectos de infraestructura crítica. La empresa está regulada por Sernageomin (proyectos de infraestructura vial) y posiblemente MOP, otorgando 15 puntos. Con 3.813 trabajadores (gran empresa) en construcción, típicamente gestiona >200 proveedores (contratistas, proveedores de materiales, servicios especializados), asignando 25 puntos. No hay señal externa reportada (0 puntos). El pain_point refleja el desafío operacional de evaluar múltiples proveedores en proyectos de infraestructura con requisitos regulatorios estrictos.",CONSTRUCCION DE CARRETERAS Y LINEAS DE FERROCARRIL,13,LAS CONDES,
